MG_MAR_factor01,MG_MAR_factor02,MG_MAR_factor03,MG_MAR_factor04,MG_MAR_factor05,MG_MAR_factor06,MG_MAR_factor07,MG_MAR_factor08,MG_MAR_factor09,MG_MAR_factor10,MG_MAR_factor11,MG_MAR_factor12,MG_MAR_factor13,MG_MAR_factor14,MG_MAR_factor15,MG_MAR_factor16,MG_MAR_factor17,MG_MAR_factor18,MG_MAR_factor19,MG_MAR_factor20,MG_MAR_factor21,MG_MAR_factor22,MG_MAR_factor23,MG_MAR_factor24,MG_MAR_factor25,MG_MAR_factor26,MG_MAR_factor27,MG_MAR_factor28,MG_MAR_factor29,MG_MAR_factor30,consecutive
300010.SZ,豆神教育,2022,2022-04-26 00:00:00,,其他,失败,豆神教育子公司立思辰合众出售立思辰新技术100%股权,协议收购,横向整合,立思辰新技术100%股权,100,87620,23342.762324262352,38685.96,CNY,现金,资产基础法,2021-11-30 00:00:00,,1.647,中银证券,,软件和信息技术服务业,软件,贸易公司与工业品经销商,"20220627：鉴于本次交易未在协议约定的时间范围内完成前置审批程序，交易对方提出终止本次交易。
20220527：上市公司发布草案并更新本次交易具体信息。
20220426：豆神教育科技(北京)股份有限公司(以下简称“公司”、“上市公司”)根据公司发展战略，优化公司资产及负债结构，化解公司债务危机，降低流动性风险，公司同意全资子公司北京立思辰合众科技有限公司(以下简称“立思辰合众”)以87,620万元交易作价向海南链众易通网络科技有限公司(以下简称“海南链众”)出售其全资子公司北京立思辰新技术有限公司(以下简称“立思辰新技术”)100%股权。",中伦律所,致同会所,中联评估,0
300015.SZ,爱尔眼科,2020,2019-10-30 00:00:00,2019-10-23 00:00:00,竞买方,完成,"爱尔眼科定增收购天津中视信100%股权,奥理德视光100%股权,宣城眼科医院80%股权,万州爱瑞90%股权和开州爱瑞90%股权",发行股份购买资产,横向整合,天津中视信100%股权;奥理德视光100%股权;宣城眼科医院80%股权;万州爱瑞90%股权;开州爱瑞90%股权,,186988,124013.79360657911,186987.998,CNY,股权+现金,"资产基础法,收益法",2019-09-30 00:00:00,,,华泰联合证券,,卫生,医疗保健提供商与服务,医疗保健技术,"20200707：爱尔眼科发布此次交易的实施情况报告书，此次交易完成。
20200613：截至本公告日，天津中视信企业管理有限公司100%股权、湛江奥理德视光学中心有限公司100%股权、宣城市眼科医院有限公司80%股权、重庆万州爱瑞阳光眼科医院有限公司90%股权及重庆开州爱瑞阳光眼科医院有限公司90%股权已完成过户手续，取得换发的《营业执照》，相应的股权持有人已变更为爱尔眼科。
20200602：上市公司发布交易报告书，2020年6月1日，上市公司收到中国证监会出具的《关于核准爱尔眼科医院集团股份有限公司向磐信（上海）投资中心（有限合伙）等发行股份购买资产并募集配套资金的批复》。
20200513：爱尔眼科发布修订稿。
20200424：公司本次发行股份及支付现金购买资产并募集配套资金事项获得中国证监会并购重组委有条件通过。
20200410：证监会一次反馈意见回复，爱尔眼科发布修订稿。
20200311：第一次证监会反馈意见。
20200303：中国证监会依法对公司提交的《爱尔眼科医院集团股份有限公司上市公司发行股份购买资产核准》行政许可申请材料进行了审查，认为该申请材料齐全，符合法定形式，决定对该行政许可申请予以受理。
20200204：爱尔眼科医院集团股份有限公司2020年第一次临时股东大会决议通过相关交易事项。
20200123：爱尔眼科发布修订稿。
20200109：爱尔眼科发布草案，更新审计报告等相关信息。
20191030：上市公司拟以发行股份方式购买磐信投资、磐茂投资合计持有的天津中视信100%股权，拟以发行股份及支付现金方式购买众生药业持有的奥理德视光100%股权与宣城眼科医院80%股权（该等股权对应的交易作价中的70%部分拟由上市公司以现金方式支付），拟以发行股份方式购买李马号、尚雅丽、重庆目乐、杭州仰健拟合计持有的万州爱瑞90%股权与开州爱瑞90%股权，该等股权的预估值和初步交易作价尚未确定（具体交易作价将根据具有证券期货相关业务资质的资产评估机构出具的评估报告确定）。
2019年10月29日，上市公司召开第四届董事会第五十三次会议，审议通过了《关于本次发行股份及支付现金购买资产并募集配套资金交易方案的议案》等相关议案，上市公司独立董事发表了独立意见。
本次交易完成后，上市公司在眼科医疗服务领域的市场占有率与业务规模将进一步得到扩大和提升，有利于帮助上市公司把握行业发展机遇期，加快占领市场份额和行业整合，扩大人才团队，增强区域医院的协调效应；有助于加快上市公司眼科医院的全国网络建设步伐，完善眼科产业链布局，为上市公司持续、快速、健康发展提供坚实的基础，加强与巩固行业领先地位。
20191023：:爱尔眼科以发行股份方式购买磐信（上海）投资中心（有限合伙）、磐茂（上海）投资中心（有限合伙）合计持有的天津中视信企业管理有限公司100%股权，拟以发行股份及支付现金方式购买广东众生药业股份有限公司持有的湛江奥理德视光学中心有限公司100%股权与宣城市眼科医院有限公司80%股权，并募集配套资金。本次交易预计不构成重大资产重组，预计不构成关联交易。",湖南启元律师事务所,中审众环,湖北众联,0
300017.SZ,网宿科技,2017,2017-02-22 00:00:00,2017-02-10 00:00:00,竞买方,完成,网宿科技拟购买CDNW97.82%股权,协议收购,横向整合,CDNW97.82%股权,97.82,2110000,,,JPY,现金,其他,2016-09-30 00:00:00,63.0447,2.0632,国信证券,,软件和信息技术服务业,互联网软件与服务Ⅲ,互联网软件与服务,"20170329：公司完成了对香港网宿的增资。
20170321：股东大会通过。
20170222：2017年2月17日，网宿科技股份有限公司子公司香港网宿与KDDI Corporation签署了《股权购买协议》。根据该协议，香港网宿拟通过现金方式向KDDI购买其持有的CDNetworks Co., Ltd.公司12,149,768股股份。网宿科技作为香港网宿的唯一股东，与KDDI签署了《保证协议》，约定本次交易中网宿科技为香港网宿履行合同义务提供保证。
本次交易已经获得上市公司第三届董事会第三十五次会议及香港网宿董事会审议通过。
本次交易完成后，网宿科技的主营业务将进一步增强，通过本次收购，公司能够充分利用CDNW的全球化运营架构，大大节约公司业务全球化的时间，同时能够将双方优势节点资源进行整合，加速健全全球范围内的高效内容分发网络，快速完善公司的国际化布局。",国浩律师,德勤华永,,0
300023.SZ,*ST宝德,2019,2019-02-01 00:00:00,,出让方,完成,宝德股份出售庆汇租赁90%股权,协议收购,资产调整,庆汇租赁90%股权,90,31000,17921.02754237288,30451.41,CNY,现金,资产基础法,2018-11-30 00:00:00,3.401,1.001,粤开证券,,专用设备制造业,能源设备与服务,工业机械,"20191128：公司发布重大资产出售暨关联交易实施情况报告书，本次交易完成。
20191123：截至本公告日，公司已收到首拓融汇支付的全部股权转让款，完成了庆汇租赁的工商变更登记手续，就庆汇租赁股权变更事宜向辽宁省地方金融监督管理局事先汇报并完成备案。
20191101：宝德股份2019年第二次临时股东大会审议通过。
20191016：上市公司发布报告书（草案）（修订稿）。
20190917：上市公告发布本次交易草案，更新交易价格、评估信息及标的审计报告等相关内容。
20190727：发布修订稿。
20190724：本次交易方案进行重大调整，公司拟向北京首拓融汇投资有限公司出售庆汇租赁90%股权，本次交易构成关联交易。
20190716：经友好协商，中德证券有限责任公司、北京市京都律师事务所不再担任公司本次重大资产出售的独立财务顾问及专项法律顾问，公司对中德证券有限责任公司、北京市京都律师事务所在公司本次重大资产出售过程中所做的工作表示感谢。为保证公司本次重大资产出售工作的顺利推进，公司将聘请联讯证券股份有限公司作为公司本次重大资产出售的独立财务顾问，北京市天元律师事务所作为公司本次重大资产出售的专项法律顾问，相关的中介机构聘用协议正在签署过程中。
20190314：发布修订预案。
20190201：西安宝德自动化股份有限公司拟将其持有的庆汇租赁有限公司90%股权转让给安徽英泓投资有限公司，安徽英泓将以现金方式认购。本次交易完成后，上市公司将不再持有庆汇租赁股权。截至本预案出具日，本次交易的交易价格尚未确定。
本次预案已经宝德股份第三届董事会第三十次会议审议通过。
本次交易前，公司主要业务包括石油自动化和融资租赁两大板块，通过本次交易，可有效保障上市公司持续稳健经营，集中精力及资源深化发展石油自动化业务，巩固和增强主业优势，同时有利于调整和优化公司业务结构。","天元律所,北京市京都律师事务所",希格玛,卓信大华,0
300023.SZ,*ST宝德,2021,2020-12-02 00:00:00,,竞买方,失败,*ST宝德收购名品世家51%股权,协议收购,多元化战略,名品世家51%股权,51,53419,22192.89200329761,91527.9252,CNY,现金,市场法,2020-12-31 00:00:00,22.5996,4.1314,五矿证券,,专用设备制造业,能源设备与服务,互联网零售,"20211102：因市场环境变化,现经交易各方友好协商，拟终止本次重大资产重组事项，后续公司将召开董事会,审议终止本次重大资产重组事项，并与交易各方签署相关终止协议。
20210823：上市公司发布修订稿并更新相关信息。
20210609：更新披露本次交易标的、评估、对价等相关信息。
20201202：2020年12月2日，交易对方与上市公司签署交易协议，上市公司支付现金112,199.88万元购买交易对方持有的名品世家89.7599%股份；参与本次交易的名品世家董事、监事、高级管理人员及其一致行动人，持有的名品世家36.1850%的股份属于限售股份，需要在远期进行交割；远期交割股份在完成过户前，交易对方将相应股份质押给上市公司，并将股份表决权委托给上市公司。
本次交易不涉及发行股份购买资产及募集配套资金。本次交易构成关联交易，本次交易构成重大资产重组，不构成重组上市。",天元律所,大华会计师事务所,中锋资产评估,0
300025.SZ,华星创业,2017,2017-05-20 00:00:00,,竞买方,失败,华星创业定增收购互联港湾49%股权,发行股份购买资产,横向整合,互联港湾49%股权,49,53900,5554.232708933717,53964.925,CNY,股权+现金,收益法,2016-12-31 00:00:00,26.018,9.7276,申万宏源承销保荐,,软件和信息技术服务业,通信设备Ⅲ,信息科技咨询与其它服务,"20171009：自本次重大资产重组方案披露后，资本市场环境较项目筹划之初发生较大变化且存在诸多不确定因素，交易对方表示若继续按原方案推进对其自身不利。公司董事会就交易对方提出的情况，组织各方进行沟通、研究、论证，经沟通交易双方就本次重组的换股价格、支付方式等核心条款无法达成一致意见。为维护公司及全体股东利益，公司经审慎研究以及与交易对方充分友好协商，决定终止本次重大资产重组。
20170712：第一次证监会反馈意见。
20170629：证监会受理。
20170621：股东大会通过。
20170520：本次交易前，杭州华星创业通信技术股份有限公司已持有互联港湾51%股权。本次交易公司拟通过发行股份及支付现金的方式，购买任志远、亚信众合合计持有的互联港湾49%股权。公司向不超过5名特定投资者发行股份募集配套资金，配套资金总额不超过25,380万元，不超过拟购买资产交易价格的100%。本次募集配套资金扣除支付中介机构费用后全部用于支付本次交易现金对价。
2017年5月19日，公司召开第三届董事会第三十六次会议，本次董事会应参与表决董事7名，实际参与表决董事7名，会议审议通过了本次发行股份及支付现金购买资产并募集配套资金的方案及相关议案。
本次交易前，上市公司持有互联港湾51%的股权。本次交易完成后，互联港湾成为上市公司的全资子公司，有利于增强上市公司对标的公司的控制力，提升对标的公司的管理和运营效率。上市公司增强对核心子公司的控制力，有利于公司对业务发展规划进行整体部署，增强上市公司的核心竞争力。",国浩律师,天健会计事务所,坤元评估,0
300031.SZ,宝通科技,2017,2016-11-24 00:00:00,,竞买方,过户,宝通科技拟收购易幻网络24.1644%股权,协议收购,横向整合,易幻网络24.1644%股权,24.1644,50000,2010.0701676910662,50068.6368,CNY,现金,收益法,2016-08-31 00:00:00,29.3627,8.5297,中信建投证券,,互联网和相关服务,软件,应用软件,"20170301：截止目前，本次交易已完成标的资产易幻网络24.1644%股权的过户手续
及相关工商登记，股权过户完成后公司累计持有易幻网络94.1644%股权。
20161215：无锡宝通科技股份有限公司重大资产购买暨关联交易报告书（草案）。
20161208：宝通科技股东大会审议通过了《关于公司非公开发行A股股票方案的议案》。
20161123：无锡宝通科技股份有限公司拟通过非公开发行股票的方式募集资金收购广州易幻网络科技有限公司24.1644%股权，本次收购完成后上市公司直接持有易幻网络94.1644%股权。经公司与牛杜投资协商确定，标的股权的交易价格确定为50,000万元。
本次非公开发行预案已经公司第三届董事会第二十次会议审议通过。
通过本次交易，有利于深化公司转型升级，加强泛娱乐方向的内容布局；补充流动资金以提升资本实力，为公司现代工业输送服务业务升级改造及泛娱乐业务转型提供有力保障。",上海市瑛明律师事务所,天衡会计,立信评估,0
300035.SZ,中科电气,2017,2016-08-23 00:00:00,,竞买方,完成,中科电气定增收购星城石墨97.6547%股权,发行股份购买资产,多元化战略,星城石墨97.6547%股权,97.6547,48827.34,10907.965841562038,48826.2367,CNY,股权+现金,收益法,2016-04-30 00:00:00,33.7448,,国信证券,,电气机械和器材制造业,机械,电子制造服务,"20170306：湖南中科电气股份有限公司《发行股份及支付现金购买资产实施情况暨新增股份上市报告书》中披露已完成星城石墨97.6547%股权的收购。
20170217：2017 年 2 月 17 日，本次交易已完成标的资产湖南星城石墨科技股份有限公司（变更为有限责任公司后名为“湖南中科星城石墨有限公司”）97.6547%股权的过户手续及相关工商登记。
20170118：湖南中科电气股份有限公司（以下简称“公司”）于2017年1月18日收到中国证券监督管理委员会（以下简称“中国证监会”）《关于核准湖南中科电气股份有限公司向北京当升材料科技股份有限公司等发行股份购买资产的批复》。
20161214：湖南中科电气股份有限公司（以下简称“公司”）于2016年12月14日收到中国证券监督管理委员会（以下简称“中国证监会”）通知，经中国证监会上市公司并购重组审核委员会2016年第95次并购重组委工作会议审议，公司发行股份及支付现金购买资产事项获得无条件通过。
20161128：第一次证监会反馈意见回复。
20161024：第一次证监会反馈意见。
20161010：湖南中科电气股份有限公司（以下简称“公司”）于近日收到中国证券监督管理委员会（以下简称“中国证监会”）出具的《中国证监会行政许可申请受理通知书》（162783号）。中国证监会依法对公司提交的《湖南中科电气股份有限公司上市公司发行股份购买资产核准》行政许可申请材料进行了审查。认为该申请材料齐全，符合法定形式，决定对该行政许可申请予以受理。
20160823：中科电气拟以发行股份及支付现金的方式购买星城石墨97.6547%股权，交易作价48827.34万元，其中以发行股份的方式支付60.06%的整体交易对价，以现金方式支付39.94%的整体交易对价。
2016年8月22日，本公司召开第三届董事会第十三次（临时）会议，审议通过了本次交易的相关议案。
本次通过拟收购星城石墨的股权，将公司业务板块延伸至新能源、新材料领域，公司业务结构将得到丰富，有助于改变公司主营业务过于单一的盈利模式.",康达律所,瑞华会计所,中瑞国际,0
300037.SZ,新宙邦,2021,2020-11-14 00:00:00,,竞买方,失败,新宙邦购买九九久科技74.24%股权,协议收购,战略合作,九九久科技74.24%股权,74.24,222720,104621.22028640853,202368.8264,CNY,现金,收益法,2020-09-30 00:00:00,25.118,1.9311,华泰联合证券,,化学原料和化学制品制造业,化工,多元化工,"20210111：深圳新宙邦科技股份有限公司2021年1月11日召开第五届董事会第十六次会议，审议通过了《关于终止重大资产购买事项的议案》。
20201229：延安必康制药股份有限公司2020年第十次临时股东大会审议通过《关于转让江苏九九久科技有限公司74.24%股权的议案》。
20201207：深圳新宙邦科技股份有限公司发布此次交易的草案，更新了相关信息。
20201114：深圳新宙邦科技股份有限公司（以下简称“公司”或“新宙邦”）发布本次交易预案，本次交易方案为上市公司以支付现金的方式购买延安必康所持有的九九久74.24%股权。
2020年11月12日，上市公司召开第五届董事会第八次会议，审议通过本次重大资产购买预案的相关议案。
本次交易完成后，上市公司的资产总额、收入规模将得到进一步提升，公司的综合竞争实力和抗风险能力将进一步增强，有助于提高公司资产质量和盈利能力，符合公司及全体股东的利益。",中伦律所,"安永华明,大华会计师事务所",中联评估,0
300038.SZ,*ST数知,2017,2016-06-23 00:00:00,,竞买方,完成,梅泰诺定增收购宁波诺信100%股权,发行股份购买资产,多元化战略,宁波诺信100%股权,100,630000,278375.31936402904,605800.37,CNY,股权+现金,"资产基础法,收益法",2016-04-30 00:00:00,,,国金证券,,互联网和相关服务,互联网软件与服务Ⅲ,多领域控股,"20170321：梅泰诺发布相关实施情况报告书，本次交易完成。
20170313：标的资产已经完成过户。
20170210：北京梅泰诺通信技术股份有限公司于近日收到中国证券监督管理委员会《关于核准北京梅泰诺通信技术股份有限公司向上海诺牧投资中心（有限合伙）发行股份购买资产并募集配套资金的批复》（证监许可【2017】192号）。
20161229：2016年12月29日，中国证券监督管理委员会（以下简称“中国证监会”） 上市公司并购重组审核委员会（以下简称“并购重组委”）召开2016年第102次并购重组委工作会议，对北京梅泰诺通信技术股份有限公司（以下简称“公司”）发行股份及支付现金购买资产并募集配套资金暨关联交易进行了审核。根据会议审核结果，公司本次发行股份及支付现金购买资产并募集配套资金暨关联交易事项获得无条件通过。
20161220：第二次证监会反馈意见回复。
20161216：第二次证监会反馈意见。
20161201：第一次证监会反馈意见回复。
20161110：第一次证监会反馈意见。
20161021：北京梅泰诺通信技术股份有限公司于2016年10月21日收到中国证券监督管理委员会出具的《中国证监会行政许可申请受理通知书》（163105号）。中国证监会对公司提交的《北京梅泰诺通信技术股份有限公司发行股份购买资产核准》行政许可申请材料进行了审查，认为该申请材料齐全，符合法定形式，决定对该行政许可申请予以受理。
20161017：2016年10月17日，梅泰诺2016年第四次临时股东大会通过了相关议案。
20160930：梅泰诺发布相关草案，本次交易的价格等数据发生改变。
20160622：梅泰诺拟向上海诺牧和宁波诺裕以发行股份及支付现金的方式购买其持有的宁波诺信100.00%股权。本次交易完成后，宁波诺信成为梅泰诺的全资子公司，梅泰诺通过宁波诺信及香港诺睿持有BBHI 99.998%股权。关于BBHI剩余0.002%股权及权益作出如下安排：香港诺祥承诺在本次交易完成后放弃其持有的BBHI0.002%的权益，并在2019年度审计报告出具后30个工作日内向梅泰诺无条件赠与其持有BBHI0.002%股权。
截至本预案签署日，标的资产以2016年4月30日为基准日的审计、评估工作尚在进行中，宁波诺信100.00%股权的预估值为586,600.00万元，参考上述预估值，并考虑本次交易的资金出境成本以及交易对方为间接收购BBHI股权所聘请中介机构的成本，经交易各方协商，标的资产的交易价格初步确定为600,000.00万元。
本次交易有利于进一步完善公司在互联网营销领域的战略布局，有利于发挥上市公司与BBHI集团在业务和财务方面的协同效应，强化生态系各主体的竞争优势。",金杜律师事务所,"德勤华永,大信会计师事务所",中和资产,0
300038.SZ,*ST数知,2022,2021-09-29 00:00:00,,出让方,董事会预案,*ST数知出售BBHI100%股权,二级市场收购(含产权交易所),资产调整,BBHI100%股权,100,59432,,,CNY,现金,,2021-06-30 00:00:00,,0.3286,联储证券,,互联网和相关服务,互联网软件与服务Ⅲ,广告,"20220215：公司已于2021年11月22日聘请联储证券有限责任公司作为本次重大资产出售的独立财务顾问。截止本公告披露日，律师、审计、评估的聘请工作尚未完成，目前各方的工作正在进行中，公司及有关各方正在积极推动本次重大资产出售所涉及的尽职调查、审计、评估等各项工作。公司将根据本次交易进展情况，严格按照有关法律、法规的规定及时履行信息披露义务。
20211214：鉴于前两轮公开挂牌转让，公司仍未能征集到符合条件的意向受让方，根据公司的战略发展规划，公司计划继续推进上述重大资产出售事项，为有效实施第三轮资产出售，公司拟将挂牌低价进一步下调至59,432.00万元，并第三次公开挂牌转让BBHI100%股权，最终交易价格以公开挂牌所确定的交易价格为准。
20211213：公司已于2021年11月22日聘请联储证券有限责任公司作为本次重大资产出售的独立财务顾问。2021年11月1日，公司于北京产权交易所再次公开挂牌转让标的资产，挂牌底价为95,118.28万元，挂牌期自2021年11月1日至2021年11月12日。在信息发布期内，公司未能征集到符合条件的意向受让方。
20211029：*ST数知发布此次交易的修订稿，更新了挂牌底价。
20210929：在当前复杂的国际环境下，政治、经济、疫情等多重不利因素对公司境外业务的开展构成了持续挑战；同时公司境内因面临部分融资纠纷，业务开展承受了一定的经营压力。上市公司基于收缩海外业务和互联网营销业务，优化公司资产负债结构，增强公司持续经营能力的需要，拟出售持有的下属公司BBHI的100%股权。上市公司拟在北京产权交易所以公开挂牌转让的方式对外转让标的资产，并由交易对方以现金方式购买。本次交易的最终交易对方以公开挂牌所确定的交易对象为准。
本次交易预计构成重大资产重组，本次交易是否构成关联交易尚不确定。",,,,0
300044.SZ,*ST赛为,2017,2016-10-13 00:00:00,,竞买方,完成,赛为智能定增收购开心人信息100%股权,发行股份购买资产,横向整合,开心人信息100%股权,100,108500,5022.054137921481,108756.6,CNY,股权+现金,收益法,2016-08-31 00:00:00,369.6815,11.4216,"英大证券,广发证券",,软件和信息技术服务业,信息技术服务,互联网软件与服务,"20170619：赛为智能发布相关实施情况报告书，本次交易完成。
20170527：标的公司北京开心人信息技术有限公司已依法就本次发行股份及支付现金购买资产过户事宜履行工商变更登记手续。2017年5月22日，北京市工商行政管理局海淀分局向开心人信息换发了新的《营业执照》。新余北岸技术服务中心（有限合伙）等6名交易对方所持开心人信息100%股权已全部过户至公司名下，开心人信息变更成为公司的全资子公司。
20170429：深圳市赛为智能股份有限公司于2017年4月28日收到中国证券监督管理委员会《关于核准深圳市赛为智能股份有限公司向新余北岸技术服务中心（有限合伙）等发行股份购买资产并募集配套资金的批复》。
20170316：深圳市赛为智能股份有限公司（以下简称“公司”）于2017年3月16日收到中国证券监督管理委员会（以下简称“中国证监会” ）的通知，经中国证监会上市公司并购重组审核委员会于2017年3月16日召开的2017年第13次并购重组委工作会议审核，公司本次发行股份及支付现金购买资产并募集配套资金暨关联交易事项获得无条件通过。
20170303：第一次证监会反馈意见回复。
20170123：第一次证监会反馈意见。
20170106：深圳市赛为智能股份有限公司（以下简称“公司”）于2017年1月6日收到中国证券监督管理委员会（以下简称“中国证监会”）出具的《中国证监会行政许可申请受理通知书》（163930号）。中国证监会依法对公司提交的《深圳市赛为智能股份有限公司上市公司发行股份购买资产核准》行政许可申请材料进行了审查，认为该申请材料齐全，符合法定形式，决定对该行政许可申请予以受理。
20161229：赛为智能股东大会审议通过了本次交易的议案。
20161027：深圳市赛为智能股份有限公司发布发行股份及支付现金购买资产并募集配套资金暨关联交易预案（修订稿）
20161012：赛为智能拟通过发行股份及支付现金相结合的方式，购买新余北岸、周斌、程炳皓、嘉乐投资、嘉志投资、福鹏宏祥持有的开心人信息100%股权，交易价格为108,500万元，其中现金支付32,200万元。
2016年10月12日，赛为智能第三届董事会第二十九次会议通过了相关议案。
公司通过并购开心人信息拥有了产品市场前景广阔、盈利增长情况良好的优质经营性资产，开拓了智慧文娱的业务。此外，上市公司藉由开心人信息涉足并深耕互联网行业，特别是移动互联网行业多个细分领域多年积累的经验，探索以“互联网+”的战略和经营思维反哺公司在本次交易完成前主营业务的传统业态的可能性，力图通过后续的资本运作，在做大做强智慧文娱业务板块的同时，继续探求发挥互联网对传统行业资源配置、服务创新等方面优化和集成作用的发展空间，积极挖掘纳入互联网文化及娱乐服务之后公司智慧城市服务生态圈各板块、应用领域之间的潜在协同效应或聚合效应。",君合律师,"正中珠江,立信",中企华评估,0
300046.SZ,台基股份,2017,2016-09-06 00:00:00,,竞买方,失败,台基股份收购润金文化100%股权,发行股份购买资产,横向整合,润金文化100%股权,100,81000,15887.459359943596,81118.19,CNY,股权+现金,收益法,2016-12-31 00:00:00,11.0816,5.1058,恒泰长财证券,,计算机、通信和其他电子设备制造业,半导体产品与半导体设备,广告,"20170810：本次重大资产重组自启动以来，公司及有关各方均积极推进相关工作，由于近期国内证券市场环境、政策等客观情况发生了较大变化，造成本次交易已经耗时较长。为切实维护上市公司和广大投资者利益，本着友好协商的原则，公司与重组相关方审慎研究，决定终止本次发行股份及支付现金购买资产并募集配套资金暨关联交易事项。
20170616：第二次证监会反馈意见回复。
20170519：第二次证监会反馈意见。
20170504：湖北台基半导体股份有限公司发布《发行股份及支付现金购买资产并募集配套资金暨关联交易报告书（草案）》
20170329：证监会受理。
20170228：湖北台基半导体股份有限公司发布了《发行股份及支付现金购买资产并募集配套资金暨关联交易报告书（草案）》，对资产品评估价值等情况进行了更新披露。
20160906：本次交易台基股份拟以非公开发行股份及现金的支付方式购买樟树市喜马投资管理中心（有限合伙）、上海尚世影业有限公司、宋智荣、赵小丁、韩雪、吴琳莉合计持有的润金文化100%股权；同时向海德而立、宏泰海容及鼎泰恒达非公开发行股份募集配套资金62,000万元，配套募集资金不超过拟以发行股份方式购买资产交易价格的100%。
2016年9月5日，台基股份召开第三届董事会第十八次会议审议通过了本次交易相关议案。
通过本次交易，注入盈利能力较强、发展前景广阔的资产，从根本上改善公司的经营状况，增强公司的持续盈利能力和发展潜力，提高公司的资产质量和盈利能力。通过本次交易，实现润金文化与资本市场的对接，可进一步推动润金文化的业务发展，提升其在行业中的综合竞争力和行业地位。借助资本市场平台，润金文化将拓宽融资渠道，提升润金文化的后续发展空间，实现上市公司股东利益最大化。",天元律所,正中珠江,中通诚,0
300047.SZ,天源迪科,2017,2016-12-15 00:00:00,,竞买方,完成,天源迪科定增收购维恩贝特94.8424%的股权,发行股份购买资产,多元化战略,维恩贝特94.8424%的股权,94.8424,79713.74,17408.615925925926,79905.5471,CNY,股权+现金,收益法,2016-09-30 00:00:00,29.7894,,招商证券,,软件和信息技术服务业,软件,互联网软件与服务,"20171016：天源迪科发布了《发行股份及支付现金购买资产暨关联交易实施情况暨新增股份上市报告书》。
20170918：本次交易已完成标的资产深圳维恩贝特科技股份有限公司的过户手续及相关工商变更登记。
20170701：上市公司发布修订稿，披露确定更改的标的信息
20170630：证监会批准。
20170427：深圳天源迪科信息技术股份有限公司获悉，经中国证券监督管理委员会上市公司并购重组审核委员会于2017年4月27日召开的2017年第21次工作会议审核，公司发行股份及支付现金购买资产暨关联交易事项获得无条件通过。
20170418：深圳天源迪科信息技术股份有限公司对发行股份及支付现金购买资产暨关联交易方案进行调整。
20170324：第一次证监会反馈意见回复。
20170301：第一次证监会反馈意见。
20170216：深圳天源迪科信息技术股份有限公司于2017年2月16日收到中国证券监督管理委员会出具的《中国证监会行政许可申请受理通知书》（170272号）。
20170206：2017年2月6日深圳天源迪科信息技术股份有限公司2017年第一次临时股东大会审议通过《本次交易之发行股份及支付现金购买资产方案》。
20161213：天源迪科拟以发行股份及支付现金相结合的方式购买维恩贝特94.9402%的股权，交易金额为79,795.64万元；同时募集配套资金不超过13,700.00万元。
2016年12月13日，天源迪科召开了第四届董事会第九次会议，审议通过了《关于公司发行股份及支付现金购买资产并募集配套资金方案的议案》。
本次交易有利于天源迪科提升公司业务规模并增强盈利能力，逐步深入金融行业大数据领域。",国浩律师,立信,国众联资,0
300051.SZ,ST三五,2017,2017-04-06 00:00:00,,竞买方,失败,三五互联收购成蹊科技100%股权,协议收购,横向整合,成蹊科技100%股权,100,110000,4687.416567366903,112504.56,CNY,现金,收益法,2016-12-31 00:00:00,31.5806,24.0014,海通证券,,软件和信息技术服务业,互联网软件与服务Ⅲ,电子设备和仪器,"20170603：三五互联决定终止本次重大重组。
20170406：厦门三五互联科技股份有限公司拟以现金支付的方式购买愉游投资、创途投资、刘中杰及邹应方持有的成蹊科技100%的股权，成蹊科技100%股权的交易价格为110,000万元。
2017年4月5日，上市公司召开第四届董事会第十次会议，审议通过本次重组草案及相关议案。
标的公司成蹊科技为互联网游戏公司，专注于休闲竞技类游戏的研发、发行以及运营，是国内休闲竞技类游戏行业优秀企业之一。成蹊科技主要运营的“鱼丸游戏”平台，凭借优秀的游戏运营，积累了稳定优质的活跃用户群体，获得良好的可持续盈利能力。通过本次并购，双方能够实现资源共享、研发技术互融和优势互补。",锦天城律师,天健会计事务所,中企华评估,0
